grade_num,stage,domain,theme,kp_code,kp_name,content_requirement,academic_requirement,teaching_hint,depth_level,core_competency,source_ref
1,小学低,阅读与鉴赏,图文阅读,CHN-G1-REA-002,借助图画理解文本,阅读图画书、拼音读物和短小故事，借助图画、题目、上下文理解主要内容。,能说出故事中的人物、地点、事件或自己喜欢的内容，愿意表达阅读感受。,充分利用图画书和儿童生活经验，引导学生边看边想边说。,1,语言运用;思维能力;审美创造,义务教育语文课程标准(2022年版)·第一学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,整本书阅读,阅读分享,CHN-G2-BOK-001,分享整本书阅读体验,在教师指导下阅读童话、儿童故事、图画书等整本书，学习记录阅读进度和喜欢的内容。,能完成一本适合年龄的儿童读物阅读，介绍主要人物、情节或最喜欢的片段。,可采用阅读单、图文记录、故事会等方式，重在形成阅读习惯。,2,语言运用;审美创造;文化自信,义务教育语文课程标准(2022年版)·第一学段·整本书阅读;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,文化传承与理解,传统文化积累,CHN-G2-CUL-001,积累传统文化语言材料,继续诵读浅近古诗文、成语、谚语、童谣和节日文化材料，理解其中的自然情趣、生活智慧和美好品德。,能背诵或熟读一定数量的浅近优秀作品，并在表达中尝试运用积累的词句。,结合节气、传统节日、地方文化和班级活动开展积累与展示。,2,文化自信;语言运用;审美创造,义务教育语文课程标准(2022年版)·第一学段·文化自信与语言积累;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,梳理与探究,语言规律发现,CHN-G2-ORG-001,发现字词句规律,在识字、阅读、积累中观察偏旁、形近字、同音字、词语搭配和句式特点，尝试归纳简单规律。,能说出若干字词句之间的相同点和不同点，并尝试把发现用于识字、阅读或表达。,用归类卡片、语文园地、词句比较等活动培养探究意识。,2,思维能力;语言运用,义务教育语文课程标准(2022年版)·第一学段·梳理与探究;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,表达与交流,口语交际,CHN-G2-EXP-001,按顺序讲述见闻,围绕生活见闻、阅读内容或活动经历，学习按时间、地点、人物、经过等顺序讲述。,能把一件简单事情讲清楚，听别人讲话时能抓住主要内容并作出回应。,设置采访、讲故事、介绍活动等真实交际任务，培养听说互动。,2,语言运用;思维能力,义务教育语文课程标准(2022年版)·第一学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,表达与交流,写话起步,CHN-G2-EXP-002,写话表达真实想法,学习用几句话写自己想说的话，记录见闻、感受、想象或对图画内容的理解。,能写几句意思连贯的话，基本做到句子通顺、标点初步正确，愿意与他人分享。,写话重在真情实感和表达兴趣，不宜过早套用固定作文模板。,2,语言运用;审美创造,义务教育语文课程标准(2022年版)·第一学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,识字与写字,独立识字,CHN-G2-HZW-001,独立识字与查检初步,继续学习常用汉字，运用拼音、偏旁、字形结构、语境和工具书等方法识字，初步学习查字典。,能较独立地认读常用字，遇到不认识的字能尝试借助拼音、语境或工具查检。,引导学生把识字方法说出来，形成自主识字策略。,2,语言运用;思维能力,义务教育语文课程标准(2022年版)·第一学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,识字与写字,规范书写提升,CHN-G2-HZW-002,正确书写常用汉字,巩固基本笔画、偏旁和笔顺规则，学习观察间架结构，提高常用字书写质量。,能用硬笔正确、端正、整洁地书写常用汉字，基本保持良好书写姿势和习惯。,把书写规范融入日常作业和语文实践，重视结构观察和习惯保持。,2,语言运用;审美创造,义务教育语文课程标准(2022年版)·第一学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,识字与写字,词句积累,CHN-G2-HZW-003,积累词语与句式,在阅读和生活表达中积累常用词语、成语、短语和基本句式，学习在语境中理解和运用。,能用积累的词语和句式说话、写话，使表达较具体、较通顺。,通过词语接龙、句式仿说、日积月累等活动促进迁移运用。,2,语言运用;思维能力,义务教育语文课程标准(2022年版)·第一学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,跨学科学习,综合语文实践,CHN-G2-PRA-001,完成生活语文小任务,结合科学观察、劳动实践、艺术制作、校园活动等，综合运用识字、阅读、表达、记录和展示能力完成小任务。,能读懂简单任务要求，合作完成记录、介绍或展示，并说明自己的发现或收获。,任务可选图书漂流、节日介绍、植物观察、班级公告制作等，体现语文在真实生活中的运用。,2,语言运用;思维能力;文化自信,义务教育语文课程标准(2022年版)·第一学段·跨学科学习;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,阅读与鉴赏,朗读与默读起步,CHN-G2-REA-001,流利朗读课文,继续学习用普通话朗读课文，注意停顿、语气和情感，初步学习不出声、不指读的默读方式。,能正确、流利地朗读短文，读后能说出主要内容或自己感兴趣的地方。,朗读评价要关注理解和语感，不只追求声音整齐。,2,语言运用;审美创造,义务教育语文课程标准(2022年版)·第一学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,阅读与鉴赏,信息提取,CHN-G2-REA-002,提取文本主要信息,阅读童话、寓言、儿歌、短文和简单说明性材料，学习提取人物、事件、时间、地点、原因等信息。,能根据问题在文本中找到相关信息，并用自己的话简要说明。,从故事情节和生活说明材料入手，培养有根据地回答问题。,2,语言运用;思维能力,义务教育语文课程标准(2022年版)·第一学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,阅读与鉴赏,文学体验,CHN-G2-REA-003,阅读童话寓言和儿童故事,阅读浅近童话、寓言、儿童故事和儿童诗，感受人物形象、故事趣味和语言美。,能讲述故事大意，表达对人物或情节的简单看法，愿意与同伴交流阅读感受。,通过角色朗读、故事复述、情节排序等方式促进理解。,2,语言运用;审美创造;思维能力,义务教育语文课程标准(2022年版)·第一学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,整本书阅读,阅读计划与分享,CHN-G3-BOK-001,制订整本书阅读计划,阅读儿童文学、寓言、神话传说、英雄模范故事等整本书，学习制订简单阅读计划并记录阅读过程。,能按计划读完一本适合年龄的书，用口头、图文或阅读单分享人物、情节和感受。,关注阅读兴趣、持续阅读和整体理解，不以碎片化问答代替整本书阅读。,2,语言运用;审美创造;文化自信,义务教育语文课程标准(2022年版)·第二学段·整本书阅读;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,文化传承与理解,传统文化体验,CHN-G3-CUL-001,感受传统文化语言与意象,通过古诗文、神话传说、寓言、传统节日和文化意象等材料，感受中华优秀传统文化。,能说出作品或活动中体现的传统文化内容，积累相关词句，并表达自己的理解和喜爱。,结合节日节气、地方文化和文化场馆资源开展体验式学习。,2,文化自信;审美创造;语言运用,义务教育语文课程标准(2022年版)·第二学段·文化自信与语言积累;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,梳理与探究,语言材料分类,CHN-G3-ORG-001,分类整理字词句和语言材料,在识字、阅读和表达中整理形近字、多音字、近义词、反义词、句式、段落结构等语言材料。,能按一定标准分类整理语言材料，发现常见语言现象，并尝试在阅读和表达中运用。,可用学习单、词句卡、语文园地、思维导图开展梳理。,2,思维能力;语言运用,义务教育语文课程标准(2022年版)·第二学段·梳理与探究;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,梳理与探究,问题探究,CHN-G3-ORG-002,围绕语文问题开展小探究,围绕阅读、语言使用、校园生活或传统文化中的问题，学习提出问题、收集资料、讨论交流和表达发现。,能在教师指导下完成一个小探究，说明问题、资料来源和初步结论。,题目要小而真实，如校园用语、错别字调查、节日习俗等。,2,思维能力;语言运用;文化自信,义务教育语文课程标准(2022年版)·第二学段·梳理与探究;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,表达与交流,日常口语交际,CHN-G3-EXP-001,清楚表达观点和理由,在讨论、采访、讲述、介绍、转述等情境中，学习围绕话题清楚表达自己的看法，并认真倾听他人意见。,能说清主要意思，尝试用一两个理由支持观点，交流时注意对象、场合和礼貌。,组织真实交际任务，如介绍一本书、讲述一次活动、采访同伴等。,2,语言运用;思维能力,义务教育语文课程标准(2022年版)·第二学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,表达与交流,观察与习作起步,CHN-G3-EXP-002,写清观察和生活见闻,学习观察身边事物、人物和活动，用一段或几段话写清楚自己的见闻、感受和想象。,能围绕一个意思写一段比较连贯的话，内容真实具体，句子基本通顺。,从观察记录、活动经历、图文想象入手，保护表达兴趣，不套模板。,2,语言运用;思维能力;审美创造,义务教育语文课程标准(2022年版)·第二学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,表达与交流,习作修改,CHN-G3-EXP-003,学习修改自己的习作,学习借助朗读、同伴建议和教师提示，修改习作中不通顺、不具体或标点使用不当的地方。,能发现并修改明显语病、错别字和标点问题，愿意与他人交流修改建议。,把修改作为写作过程的一部分，评价时关注修改意识。,2,语言运用;思维能力,义务教育语文课程标准(2022年版)·第二学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,识字与写字,独立识字与词语理解,CHN-G3-HZW-001,运用多种方法独立识字,继续扩大识字量，学习运用拼音、偏旁部首、字形结构、语境、工具书和生活经验独立识字，理解常用词语在具体语境中的意思。,能较熟练地独立认读常用字词，遇到生字能主动查检或联系语境理解，逐步形成自主识字习惯。,把识字放在阅读、写作和生活语境中进行，鼓励学生交流识字方法。,2,语言运用;思维能力,义务教育语文课程标准(2022年版)·第二学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,识字与写字,硬笔书写,CHN-G3-HZW-002,规范书写常用汉字,巩固硬笔书写基本规范，学习观察汉字间架结构、笔画呼应和行款整齐，继续养成良好书写习惯。,能用硬笔书写常用汉字，做到正确、端正、整洁，初步注意书写速度和版面整齐。,在日常语文作业和习作中落实书写要求，避免只靠集中练字。,2,语言运用;审美创造,义务教育语文课程标准(2022年版)·第二学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,跨学科学习,校园活动语文实践,CHN-G3-PRA-001,参与校园语文综合活动,结合朗诵会、故事会、读书节、观察记录、校园调查等活动，综合运用阅读、表达、记录和展示能力。,能在小组活动中承担任务，完成资料查找、记录整理、口头展示或简单书面表达。,活动应有真实受众和成果展示，强调合作过程和语言实践。,2,语言运用;思维能力;文化自信,义务教育语文课程标准(2022年版)·第二学段·跨学科学习;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,阅读与鉴赏,朗读默读与略读,CHN-G3-REA-001,学习朗读默读和略读,学习有感情地朗读课文，初步学习默读和略读，能根据阅读目的选择合适阅读方式。,能正确、流利、有感情地朗读课文，默读时不出声不指读，能用略读方式了解文章大意。,朗读、默读、略读应结合具体文本任务，不作孤立技巧训练。,2,语言运用;思维能力,义务教育语文课程标准(2022年版)·第二学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,阅读与鉴赏,叙事性作品理解,CHN-G3-REA-002,理解叙事性作品主要内容,阅读童话、寓言、故事、记叙文等叙事性作品，理解人物、情节、环境和主要内容。,能复述故事大意，概括主要内容，表达对人物、情节或语言的初步感受。,通过情节图、人物卡、角色朗读、故事复述等方式促进整体理解。,2,语言运用;思维能力;审美创造,义务教育语文课程标准(2022年版)·第二学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,阅读与鉴赏,实用性阅读,CHN-G3-REA-003,阅读简单实用文本,阅读通知、说明、图表、书信、活动安排、科普短文等简单实用文本，学习按目的获取信息。,能从实用文本中提取关键信息，判断信息与任务的关系，并按要求完成简单应用。,结合校园通知、活动海报、说明书、观察记录等真实材料教学。,2,语言运用;思维能力,义务教育语文课程标准(2022年版)·第二学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,阅读与鉴赏,古诗文积累,CHN-G3-REA-004,诵读优秀诗文并理解大意,诵读优秀诗文、成语、格言警句和浅近文言材料，借助注释、图画和生活经验理解大意。,能背诵或熟读一定数量优秀诗文，初步感受语言节奏、意象和传统文化内涵。,以诵读、想象画面、联系生活体验为主，不做过深文言知识讲解。,2,文化自信;审美创造;语言运用,义务教育语文课程标准(2022年版)·第二学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,整本书阅读,多类型整本书阅读,CHN-G4-BOK-001,阅读儿童文学和传统故事整本书,阅读儿童文学名著、寓言、神话传说、英雄模范故事等整本书，学习交流人物、情节、主题和启示。,能较完整地介绍一本书的主要内容，分享阅读收获，提出阅读中的问题。,鼓励学生用阅读地图、人物关系图、读书会等方式交流。,2,语言运用;审美创造;文化自信,义务教育语文课程标准(2022年版)·第二学段·整本书阅读;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,文化传承与理解,文化主题阅读,CHN-G4-CUL-001,围绕文化主题阅读与表达,围绕传统节日、民俗风情、文化遗产、历史传说和中华文化意象开展阅读、参观、记录和表达。,能结合阅读和活动经历介绍一种文化现象，表达自己的理解和体验。,可结合博物馆、非遗、地方文化和校园文化活动开展。,2,文化自信;语言运用;审美创造,义务教育语文课程标准(2022年版)·第二学段·文化自信与语言积累;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,梳理与探究,语言现象梳理,CHN-G4-ORG-001,梳理语言现象并发现规律,围绕字词句段、修辞、标点、表达顺序、篇章结构等语言现象进行比较、分类和归纳。,能通过比较发现表达特点，说明自己的发现，并尝试用于阅读理解和习作表达。,引导学生从具体语言材料中归纳，不要求系统讲授语法。,3,思维能力;语言运用,义务教育语文课程标准(2022年版)·第二学段·梳理与探究;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,表达与交流,有条理口语表达,CHN-G4-EXP-001,围绕主题有条理表达,在讲述、讨论、辩论雏形、汇报和采访中，学习围绕中心组织材料，有条理地表达。,能围绕主题说清内容，注意先后顺序和重点，听取他人意见并作适当回应。,可设置新闻播报、读书分享、项目汇报等真实交际任务。,2,语言运用;思维能力,义务教育语文课程标准(2022年版)·第二学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,表达与交流,记实习作,CHN-G4-EXP-002,写清事情经过和感受,学习写人、记事、写景、状物等记实性习作，围绕中心选择材料，写清经过和感受。,能写一篇内容较具体、语句较通顺、结构较清楚的习作，并表达真实感受。,引导学生从真实经历和细致观察出发，反对套作和空泛抒情。,2,语言运用;思维能力;审美创造,义务教育语文课程标准(2022年版)·第二学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,表达与交流,想象习作,CHN-G4-EXP-003,展开想象进行创意表达,根据图画、故事开头、生活情境或阅读经验展开想象，写童话、故事或创意片段。,能写出有一定情节和想象力的作品，注意人物、事件和语言表达的连贯。,鼓励自由表达和多样创意，同时引导情节清楚、语言通顺。,2,语言运用;审美创造;思维能力,义务教育语文课程标准(2022年版)·第二学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,表达与交流,习作修改与评价,CHN-G4-EXP-004,修改并评价习作,学习从内容是否具体、顺序是否清楚、语句是否通顺、标点是否恰当等方面修改和评价习作。,能根据修改要求对自己的习作作较有针对性的修改，并能给同伴提出具体建议。,采用同伴互评、朗读修改、修改前后对比等方式培养过程意识。,3,语言运用;思维能力,义务教育语文课程标准(2022年版)·第二学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,识字与写字,字词理解与运用,CHN-G4-HZW-001,在语境中理解和运用字词,继续扩大识字量，联系上下文和生活经验理解词语含义，辨析词语感情色彩和表达效果。,能较准确理解常用词语在语境中的意思，选择恰当词语进行口头或书面表达。,把字词学习与课文理解、习作表达结合，避免脱离语境机械解释。,2,语言运用;思维能力,义务教育语文课程标准(2022年版)·第二学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,识字与写字,书写质量与速度,CHN-G4-HZW-002,提高硬笔书写质量,巩固规范、端正、整洁的硬笔书写习惯，注意行款整齐，逐步提高书写速度。,能在日常作业和习作中保持较稳定的书写质量，做到正确、端正、整洁。,通过短时高频练习和作品展示促进书写习惯内化。,2,语言运用;审美创造,义务教育语文课程标准(2022年版)·第二学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,识字与写字,工具书使用,CHN-G4-HZW-003,熟练使用工具书查检,学习较熟练使用字典、词典和数字化工具查检字音、字形、字义和词语用法。,能根据学习需要选择合适查检方式，并把查检结果用于阅读理解和表达修改。,强调查检后的判断和运用，不只考查查字速度。,2,语言运用;数字化学习与创新,义务教育语文课程标准(2022年版)·第二学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,跨学科学习,调查报告与成果展示,CHN-G4-PRA-001,完成简单调查和语文成果展示,选择日常语言、校园卫生、交通安全、家庭教育、文化活动等问题进行调查研讨，学习写简单研究报告或展示材料。,能围绕问题收集资料，整理发现，用口头或书面方式展示结论和建议。,强调问题真实、资料可靠、表达清楚，鼓励与科学、道德与法治、艺术等学科联动。,3,语言运用;思维能力;文化自信,义务教育语文课程标准(2022年版)·第二学段·跨学科学习;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,阅读与鉴赏,把握文章主要内容,CHN-G4-REA-001,概括文章主要内容,阅读叙事性、说明性和浅近文学作品，学习抓住题目、关键句、段落和事件线索把握主要内容。,能用自己的话概括文章主要内容，初步分清主要信息和次要信息。,用段意合并、情节梳理、问题链等方式训练概括能力。,2,语言运用;思维能力,义务教育语文课程标准(2022年版)·第二学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,阅读与鉴赏,人物形象与情感,CHN-G4-REA-002,体会人物形象和思想感情,阅读叙事性作品，联系语言、动作、心理、环境和情节发展体会人物形象与思想感情。,能结合文本依据说出对人物或情感的理解，并表达自己的阅读感受。,引导学生用文本证据说话，避免空泛评价人物。,3,语言运用;思维能力;审美创造,义务教育语文课程标准(2022年版)·第二学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,阅读与鉴赏,说明性文本阅读,CHN-G4-REA-003,阅读说明性和科普文本,阅读说明性文章、科普短文、图表资料等，了解说明对象、主要特征和基本说明方法。,能提取关键信息，说明事物特点，借助图表或关键词整理内容。,与科学、信息科技等学科结合，训练信息提取和条理表达。,2,语言运用;思维能力,义务教育语文课程标准(2022年版)·第二学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,阅读与鉴赏,诗文鉴赏,CHN-G4-REA-004,感受诗文语言和意境,诵读优秀诗文，借助注释、想象画面和背景资料，感受语言节奏、意境和情感。,能用自己的话说出诗文大意和感受，积累优美词句并尝试迁移表达。,重视诵读、想象和审美体验，不过度讲解术语。,2,文化自信;审美创造;语言运用,义务教育语文课程标准(2022年版)·第二学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,整本书阅读,长篇作品阅读,CHN-G5-BOK-001,阅读长篇儿童文学和名著节选,阅读长篇儿童文学、经典名著节选、科普作品或人物传记，学习持续阅读和整体把握。,能较完整地介绍一本书的主要内容、人物形象和阅读收获，能提出自己的问题或看法。,通过阅读计划、读书笔记、人物关系图、读书会等方式支持持续阅读。,3,语言运用;审美创造;文化自信,义务教育语文课程标准(2022年版)·第三学段·整本书阅读;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,文化传承与理解,传统文化和革命文化阅读,CHN-G5-CUL-001,阅读传统文化和革命文化作品,阅读古诗文、传统故事、革命故事、英雄模范作品和中华优秀文化材料，理解其中的价值追求和精神品质。,能结合文本内容说明文化内涵或人物精神，并表达自己的认同和思考。,联系历史、道德与法治和地方文化资源，避免空泛说教。,3,文化自信;语言运用;审美创造,义务教育语文课程标准(2022年版)·第三学段·文化自信与语言积累;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,梳理与探究,表达方法梳理,CHN-G5-ORG-001,梳理文本表达方法,围绕不同文本，梳理叙述顺序、说明方法、描写方法、修辞手法、过渡照应等表达方法。,能发现常见表达方法的作用，并尝试迁移到自己的口头或书面表达中。,从典型课文和学生习作出发做比较分析，避免术语化。,3,思维能力;语言运用,义务教育语文课程标准(2022年版)·第三学段·梳理与探究;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,梳理与探究,专题资料整理,CHN-G5-ORG-002,围绕专题整理资料,围绕阅读、文化、生活或跨学科问题，学习确定主题、搜集资料、筛选信息、分类整理和形成结论。,能完成一个小专题资料整理任务，说明资料来源、整理方法和主要发现。,可结合人物研究、传统节日、自然观察、社会现象等主题开展。,3,思维能力;语言运用;文化自信,义务教育语文课程标准(2022年版)·第三学段·梳理与探究;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,表达与交流,观点表达与讨论,CHN-G5-EXP-001,有依据地表达观点,在讨论、交流、演讲、辩论雏形和汇报中，学习围绕话题表达观点，并用事实、文本或生活经验作支撑。,能清楚表达自己的观点，说明理由，尊重不同意见，并能根据交流调整表达。,设置读书讨论、班级议题、项目汇报等真实交际场景。,3,语言运用;思维能力,义务教育语文课程标准(2022年版)·第三学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,表达与交流,记实习作提升,CHN-G5-EXP-002,把事情和感受写具体,学习围绕中心选择材料，通过细节描写、场景描写、人物描写等方式写清事情经过和真实感受。,能写内容具体、条理清楚、感受真实的记实习作，表达有一定感染力。,引导学生从观察和经历中选材，重视细节和真情实感。,2,语言运用;审美创造;思维能力,义务教育语文课程标准(2022年版)·第三学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,表达与交流,想象与应用文表达,CHN-G5-EXP-003,开展想象表达和应用文写作,根据阅读经验、生活情境或任务需要，写想象作文、书信、倡议、读后感、活动通知等多种文本。,能根据不同文体和交际目的组织内容，做到格式基本正确、表达清楚。,结合真实任务写作，如给同伴写信、为活动写倡议、写读后感。,2,语言运用;思维能力;审美创造,义务教育语文课程标准(2022年版)·第三学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
