stage_group,grade_num,domain,theme,total
义务教育1-9,5,阅读与鉴赏,文学语言品味,1
义务教育1-9,5,阅读与鉴赏,篇章结构与中心,1
义务教育1-9,5,阅读与鉴赏,阅读方法综合运用,1
义务教育1-9,6,整本书阅读,经典作品整本书阅读,1
义务教育1-9,6,整本书阅读,阅读策略迁移,1
义务教育1-9,6,文化传承与理解,文化理解与价值认同,1
义务教育1-9,6,梳理与探究,主题探究与小论文雏形,1
义务教育1-9,6,梳理与探究,语言规律综合梳理,1
义务教育1-9,6,表达与交流,修改评价与发表,1
义务教育1-9,6,表达与交流,公共表达与回应,1
义务教育1-9,6,表达与交流,创意表达与应用写作,1
义务教育1-9,6,表达与交流,纪实和抒情习作,1
义务教育1-9,6,识字与写字,书写质量与审美,1
义务教育1-9,6,识字与写字,自主识字综合运用,1
义务教育1-9,6,跨学科学习,综合项目与毕业展示,1
义务教育1-9,6,阅读与鉴赏,古诗文积累鉴赏,1
义务教育1-9,6,阅读与鉴赏,多文本阅读,1
义务教育1-9,6,阅读与鉴赏,实用与说明文本阅读,1
义务教育1-9,6,阅读与鉴赏,思辨性阅读起步,1
义务教育1-9,6,阅读与鉴赏,文学作品鉴赏,1
义务教育1-9,7,整本书阅读,名著阅读起步,1
义务教育1-9,7,文化传承与理解,传统文化和革命文化材料阅读,1
义务教育1-9,7,梳理与探究,学习资料整理,1
义务教育1-9,7,梳理与探究,语言现象梳理,1
义务教育1-9,7,表达与交流,倾听讨论与转述,1
义务教育1-9,7,表达与交流,写作修改,1
义务教育1-9,7,表达与交流,记叙描写习作,1
义务教育1-9,7,表达与交流,说明与介绍写作,1
义务教育1-9,7,识字与写字,文言字词起步,1
义务教育1-9,7,识字与写字,语言积累与规范运用,1
义务教育1-9,7,跨学科学习,数字化语文实践,1
义务教育1-9,7,跨学科学习,综合性学习活动,1
义务教育1-9,7,阅读与鉴赏,叙事性文学阅读,1
义务教育1-9,7,阅读与鉴赏,古诗文阅读,1
义务教育1-9,7,阅读与鉴赏,散文与诗歌体验,1
义务教育1-9,7,阅读与鉴赏,说明性文本阅读,1
义务教育1-9,7,阅读与鉴赏,阅读方法与批注,1
义务教育1-9,7,阅读与鉴赏,非连续性文本起步,1
义务教育1-9,8,整本书阅读,名著专题阅读,1
义务教育1-9,8,整本书阅读,阅读策略深化,1
义务教育1-9,8,文化传承与理解,文化专题阅读与表达,1
义务教育1-9,8,梳理与探究,专题探究资料分析,1
义务教育1-9,8,梳理与探究,文体特征梳理,1
义务教育1-9,8,表达与交流,复杂记叙与抒情表达,1
义务教育1-9,8,表达与交流,观点陈述与辩论,1
义务教育1-9,8,表达与交流,说明和议论表达,1
义务教育1-9,8,表达与交流,过程化写作修改,1
义务教育1-9,8,识字与写字,文言积累迁移,1
义务教育1-9,8,识字与写字,词语句式与表达效果,1
义务教育1-9,8,跨学科学习,调查研究与成果发布,1
义务教育1-9,8,阅读与鉴赏,古诗文比较阅读,1
义务教育1-9,8,阅读与鉴赏,多文本与非连续性文本,1
义务教育1-9,8,阅读与鉴赏,文学作品深度阅读,1
义务教育1-9,8,阅读与鉴赏,新闻传记阅读,1
义务教育1-9,8,阅读与鉴赏,论述性文本起步,1
义务教育1-9,8,阅读与鉴赏,说明与科普阅读,1
义务教育1-9,9,整本书阅读,名著专题研读,1
义务教育1-9,9,文化传承与理解,文化理解与价值判断,1
义务教育1-9,9,梳理与探究,初中语文知识方法系统梳理,1
义务教育1-9,9,梳理与探究,研究性学习成果,1
义务教育1-9,9,表达与交流,修改润色与发表,1
义务教育1-9,9,表达与交流,思辨表达与公共讨论,1
义务教育1-9,9,表达与交流,综合写作能力,1
义务教育1-9,9,表达与交流,议论性写作,1
义务教育1-9,9,识字与写字,文言阅读综合迁移,1
义务教育1-9,9,识字与写字,语言积累综合运用,1
义务教育1-9,9,跨学科学习,数字媒介综合表达,1
义务教育1-9,9,跨学科学习,综合项目与社会表达,1
义务教育1-9,9,阅读与鉴赏,古诗文专题阅读,1
义务教育1-9,9,阅读与鉴赏,多文本综合阅读,1
义务教育1-9,9,阅读与鉴赏,实用文本评价,1
义务教育1-9,9,阅读与鉴赏,综合把握文学作品,1
义务教育1-9,9,阅读与鉴赏,论述性文本阅读,1
义务教育1-9,9,阅读与鉴赏,阅读反思与评价,1
高中10-11,10,实用性阅读与交流,交流展示,1
高中10-11,10,实用性阅读与交流,信息整合评价,1
高中10-11,10,实用性阅读与交流,实用文本阅读,1
高中10-11,10,实用性阅读与交流,应用写作,1
高中10-11,10,当代文化参与,文化观察,1
高中10-11,10,当代文化参与,文化评价,1
高中10-11,10,当代文化参与,文化调查,1
高中10-11,10,思辨性阅读与表达,事实观点推理,1
高中10-11,10,思辨性阅读与表达,讨论演讲,1
高中10-11,10,思辨性阅读与表达,议论写作,1
高中10-11,10,思辨性阅读与表达,论述文本阅读,1
高中10-11,10,整本书阅读与研讨,深度研读,1
高中10-11,10,整本书阅读与研讨,研讨表达,1
高中10-11,10,整本书阅读与研讨,阅读规划,1
高中10-11,10,文学阅读与写作,作品修改评价,1
高中10-11,10,文学阅读与写作,文学作品阅读,1
高中10-11,10,文学阅读与写作,文学写作,1
高中10-11,10,文学阅读与写作,文学表达分析,1
高中10-11,10,语言积累、梳理与探究,规范得体表达,1
高中10-11,10,语言积累、梳理与探究,语言专题探究,1
高中10-11,10,语言积累、梳理与探究,语言材料积累,1
高中10-11,10,语言积累、梳理与探究,语言规律梳理,1
高中10-11,10,跨媒介阅读与交流,媒介文本识别,1
高中10-11,10,跨媒介阅读与交流,媒介表达比较,1
高中10-11,10,跨媒介阅读与交流,跨媒介创作,1
高中10-11,11,中华传统文化经典研习,传统文化表达转化,1
高中10-11,11,中华传统文化经典研习,古诗文比较研习,1
高中10-11,11,中华传统文化经典研习,思想文化阐释,1
高中10-11,11,中华传统文化经典研习,经典文本精读,1
高中10-11,11,中国现当代作家作品研习,作家专题研习,1
高中10-11,11,中国现当代作家作品研习,当代文学生活参与,1
高中10-11,11,中国现当代作家作品研习,文学评论写作,1
高中10-11,11,中国现当代作家作品研习,现当代文学作品研读,1
高中10-11,11,中国革命传统作品研习,革命传统作品阅读,1
高中10-11,11,中国革命传统作品研习,革命叙事表达分析,1
高中10-11,11,中国革命传统作品研习,革命文化主题表达,1
高中10-11,11,中国革命传统作品研习,革命精神阐释,1
高中10-11,11,外国作家作品研习,世界文学视野,1
高中10-11,11,外国作家作品研习,外国文学作品阅读,1
高中10-11,11,外国作家作品研习,外国文学评论表达,1
高中10-11,11,外国作家作品研习,跨文化比较阅读,1
高中10-11,11,当代文化参与,当代文化议题选择,1
高中10-11,11,当代文化参与,文化传播实践,1
高中10-11,11,当代文化参与,文化评论写作,1
高中10-11,11,当代文化参与,文化资料采集分析,1
高中10-11,11,整本书阅读与研讨,整本书比较阅读,1
高中10-11,11,整本书阅读与研讨,经典整本书专题研读,1
高中10-11,11,整本书阅读与研讨,读书报告与书评,1
高中10-11,11,整本书阅读与研讨,阅读共同体研讨,1
高中10-11,11,科学与文化论著研习,学术表达雏形,1
高中10-11,11,科学与文化论著研习,概念论证分析,1
高中10-11,11,科学与文化论著研习,论著阅读方法,1
高中10-11,11,科学与文化论著研习,跨学科主题研读,1
高中10-11,11,语言积累、梳理与探究,汉语现象探究,1
高中10-11,11,语言积累、梳理与探究,语言专题成果表达,1
高中10-11,11,语言积累、梳理与探究,语言文字专题积累,1
高中10-11,11,语言积累、梳理与探究,语言逻辑与修辞,1
高中10-11,11,跨媒介阅读与交流,媒介信息评价,1
高中10-11,11,跨媒介阅读与交流,跨媒介专题阅读,1
高中10-11,11,跨媒介阅读与交流,跨媒介作品发布反思,1
高中10-11,11,跨媒介阅读与交流,跨媒介叙事设计,1
