grade_num,stage,domain,theme,kp_code,kp_name,source_ref_has_2025,hit_task_group,hit_whole_book,hit_cross_media,hit_reasoning_argument,hit_culture,hit_evaluation_quality,hit_integrated_practice,hit_digital_ai,source_ref
2,小学低,整本书阅读,阅读分享,CHN-G2-BOK-001,分享整本书阅读体验,1,0,1,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第一学段·整本书阅读;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,文化传承与理解,传统文化积累,CHN-G2-CUL-001,积累传统文化语言材料,1,0,0,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第一学段·文化自信与语言积累;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,梳理与探究,语言规律发现,CHN-G2-ORG-001,发现字词句规律,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第一学段·梳理与探究;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,表达与交流,口语交际,CHN-G2-EXP-001,按顺序讲述见闻,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第一学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,表达与交流,写话起步,CHN-G2-EXP-002,写话表达真实想法,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第一学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,识字与写字,独立识字,CHN-G2-HZW-001,独立识字与查检初步,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第一学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,识字与写字,规范书写提升,CHN-G2-HZW-002,正确书写常用汉字,1,0,0,0,0,0,0,1,0,义务教育语文课程标准(2022年版)·第一学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,识字与写字,词句积累,CHN-G2-HZW-003,积累词语与句式,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第一学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,跨学科学习,综合语文实践,CHN-G2-PRA-001,完成生活语文小任务,1,0,0,0,0,1,0,1,0,义务教育语文课程标准(2022年版)·第一学段·跨学科学习;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,阅读与鉴赏,朗读与默读起步,CHN-G2-REA-001,流利朗读课文,1,0,0,0,0,0,1,0,0,义务教育语文课程标准(2022年版)·第一学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,阅读与鉴赏,信息提取,CHN-G2-REA-002,提取文本主要信息,1,0,0,0,0,0,0,0,1,义务教育语文课程标准(2022年版)·第一学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
2,小学低,阅读与鉴赏,文学体验,CHN-G2-REA-003,阅读童话寓言和儿童故事,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第一学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,整本书阅读,阅读计划与分享,CHN-G3-BOK-001,制订整本书阅读计划,1,0,1,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第二学段·整本书阅读;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,文化传承与理解,传统文化体验,CHN-G3-CUL-001,感受传统文化语言与意象,1,0,0,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第二学段·文化自信与语言积累;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,梳理与探究,语言材料分类,CHN-G3-ORG-001,分类整理字词句和语言材料,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第二学段·梳理与探究;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,梳理与探究,问题探究,CHN-G3-ORG-002,围绕语文问题开展小探究,1,0,0,0,0,1,0,1,0,义务教育语文课程标准(2022年版)·第二学段·梳理与探究;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,表达与交流,日常口语交际,CHN-G3-EXP-001,清楚表达观点和理由,1,0,0,0,1,0,0,0,0,义务教育语文课程标准(2022年版)·第二学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,表达与交流,观察与习作起步,CHN-G3-EXP-002,写清观察和生活见闻,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第二学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,表达与交流,习作修改,CHN-G3-EXP-003,学习修改自己的习作,1,0,0,0,0,0,1,0,0,义务教育语文课程标准(2022年版)·第二学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,识字与写字,独立识字与词语理解,CHN-G3-HZW-001,运用多种方法独立识字,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第二学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,识字与写字,硬笔书写,CHN-G3-HZW-002,规范书写常用汉字,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第二学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,跨学科学习,校园活动语文实践,CHN-G3-PRA-001,参与校园语文综合活动,1,0,0,0,0,1,0,1,0,义务教育语文课程标准(2022年版)·第二学段·跨学科学习;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,阅读与鉴赏,朗读默读与略读,CHN-G3-REA-001,学习朗读默读和略读,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第二学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,阅读与鉴赏,叙事性作品理解,CHN-G3-REA-002,理解叙事性作品主要内容,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第二学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,阅读与鉴赏,实用性阅读,CHN-G3-REA-003,阅读简单实用文本,1,0,0,0,0,0,0,0,1,义务教育语文课程标准(2022年版)·第二学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
3,小学中,阅读与鉴赏,古诗文积累,CHN-G3-REA-004,诵读优秀诗文并理解大意,1,0,0,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第二学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,整本书阅读,多类型整本书阅读,CHN-G4-BOK-001,阅读儿童文学和传统故事整本书,1,0,1,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第二学段·整本书阅读;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,文化传承与理解,文化主题阅读,CHN-G4-CUL-001,围绕文化主题阅读与表达,1,0,0,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第二学段·文化自信与语言积累;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,梳理与探究,语言现象梳理,CHN-G4-ORG-001,梳理语言现象并发现规律,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第二学段·梳理与探究;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,表达与交流,有条理口语表达,CHN-G4-EXP-001,围绕主题有条理表达,1,0,0,0,0,0,0,1,0,义务教育语文课程标准(2022年版)·第二学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,表达与交流,记实习作,CHN-G4-EXP-002,写清事情经过和感受,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第二学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,表达与交流,想象习作,CHN-G4-EXP-003,展开想象进行创意表达,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第二学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,表达与交流,习作修改与评价,CHN-G4-EXP-004,修改并评价习作,1,0,0,0,0,0,1,0,0,义务教育语文课程标准(2022年版)·第二学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,识字与写字,字词理解与运用,CHN-G4-HZW-001,在语境中理解和运用字词,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第二学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,识字与写字,书写质量与速度,CHN-G4-HZW-002,提高硬笔书写质量,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第二学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,识字与写字,工具书使用,CHN-G4-HZW-003,熟练使用工具书查检,1,0,0,0,0,0,0,1,1,义务教育语文课程标准(2022年版)·第二学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,跨学科学习,调查报告与成果展示,CHN-G4-PRA-001,完成简单调查和语文成果展示,1,0,0,0,0,1,0,1,0,义务教育语文课程标准(2022年版)·第二学段·跨学科学习;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,阅读与鉴赏,把握文章主要内容,CHN-G4-REA-001,概括文章主要内容,1,0,0,0,0,0,0,0,1,义务教育语文课程标准(2022年版)·第二学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,阅读与鉴赏,人物形象与情感,CHN-G4-REA-002,体会人物形象和思想感情,1,0,0,0,0,0,1,0,0,义务教育语文课程标准(2022年版)·第二学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,阅读与鉴赏,说明性文本阅读,CHN-G4-REA-003,阅读说明性和科普文本,1,0,0,0,0,0,0,0,1,义务教育语文课程标准(2022年版)·第二学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
4,小学中,阅读与鉴赏,诗文鉴赏,CHN-G4-REA-004,感受诗文语言和意境,1,0,0,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第二学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,整本书阅读,长篇作品阅读,CHN-G5-BOK-001,阅读长篇儿童文学和名著节选,1,0,1,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第三学段·整本书阅读;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,文化传承与理解,传统文化和革命文化阅读,CHN-G5-CUL-001,阅读传统文化和革命文化作品,1,0,0,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第三学段·文化自信与语言积累;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,梳理与探究,表达方法梳理,CHN-G5-ORG-001,梳理文本表达方法,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第三学段·梳理与探究;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,梳理与探究,专题资料整理,CHN-G5-ORG-002,围绕专题整理资料,1,0,0,0,0,1,0,1,1,义务教育语文课程标准(2022年版)·第三学段·梳理与探究;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,表达与交流,观点表达与讨论,CHN-G5-EXP-001,有依据地表达观点,1,0,0,0,1,0,0,1,0,义务教育语文课程标准(2022年版)·第三学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,表达与交流,记实习作提升,CHN-G5-EXP-002,把事情和感受写具体,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第三学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,表达与交流,想象与应用文表达,CHN-G5-EXP-003,开展想象表达和应用文写作,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第三学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,表达与交流,习作修改与资料使用,CHN-G5-EXP-004,修改习作并合理使用资料,1,0,0,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第三学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,识字与写字,自主识字与词语辨析,CHN-G5-HZW-001,自主识字并辨析词语,1,0,0,0,0,0,0,1,0,义务教育语文课程标准(2022年版)·第三学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,识字与写字,硬笔书写与行款,CHN-G5-HZW-002,保持规范书写和行款整齐,1,0,0,0,0,0,1,0,0,义务教育语文课程标准(2022年版)·第三学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,识字与写字,语言积累运用,CHN-G5-HZW-003,积累并运用有表现力的词句,1,0,0,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第三学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,跨学科学习,资料搜集与成果展示,CHN-G5-PRA-001,完成跨学科资料搜集和展示,1,0,0,0,0,1,0,1,0,义务教育语文课程标准(2022年版)·第三学段·跨学科学习;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,阅读与鉴赏,阅读方法综合运用,CHN-G5-REA-001,综合运用精读略读浏览,1,0,0,0,0,0,0,1,1,义务教育语文课程标准(2022年版)·第三学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,阅读与鉴赏,篇章结构与中心,CHN-G5-REA-002,把握篇章结构和中心意思,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第三学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,阅读与鉴赏,文学语言品味,CHN-G5-REA-003,品味文学作品语言表达,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第三学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,阅读与鉴赏,实用与非连续性文本,CHN-G5-REA-004,阅读实用性和非连续性文本,1,0,0,0,0,0,0,1,1,义务教育语文课程标准(2022年版)·第三学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
5,小学高,阅读与鉴赏,古诗文理解鉴赏,CHN-G5-REA-005,理解古诗文内容和情感,1,0,0,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第三学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
6,小学高,整本书阅读,经典作品整本书阅读,CHN-G6-BOK-001,阅读经典儿童文学和名著,1,0,1,0,0,1,1,0,0,义务教育语文课程标准(2022年版)·第三学段·整本书阅读;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
6,小学高,整本书阅读,阅读策略迁移,CHN-G6-BOK-002,迁移整本书阅读策略,1,0,1,0,0,0,1,0,0,义务教育语文课程标准(2022年版)·第三学段·整本书阅读;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
6,小学高,文化传承与理解,文化理解与价值认同,CHN-G6-CUL-001,理解中华文化精神内涵,1,0,0,0,0,1,0,1,0,义务教育语文课程标准(2022年版)·第三学段·文化自信与语言积累;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
6,小学高,梳理与探究,语言规律综合梳理,CHN-G6-ORG-001,综合梳理语文学习内容,1,0,0,0,0,1,0,1,0,义务教育语文课程标准(2022年版)·第三学段·梳理与探究;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
6,小学高,梳理与探究,主题探究与小论文雏形,CHN-G6-ORG-002,开展主题探究并形成成果,1,0,0,0,1,1,0,1,0,义务教育语文课程标准(2022年版)·第三学段·梳理与探究;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
6,小学高,表达与交流,公共表达与回应,CHN-G6-EXP-001,面向听众清楚表达并回应,1,0,0,0,1,0,0,1,0,义务教育语文课程标准(2022年版)·第三学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
6,小学高,表达与交流,纪实和抒情习作,CHN-G6-EXP-002,写有中心有细节的纪实习作,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第三学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
6,小学高,表达与交流,创意表达与应用写作,CHN-G6-EXP-003,完成创意表达和应用写作,1,0,0,0,0,0,0,1,0,义务教育语文课程标准(2022年版)·第三学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
6,小学高,表达与交流,修改评价与发表,CHN-G6-EXP-004,修改评价并发表作品,1,0,0,0,0,0,1,0,0,义务教育语文课程标准(2022年版)·第三学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
6,小学高,识字与写字,自主识字综合运用,CHN-G6-HZW-001,综合运用识字和词语理解方法,1,0,0,0,0,0,0,1,0,义务教育语文课程标准(2022年版)·第三学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
6,小学高,识字与写字,书写质量与审美,CHN-G6-HZW-002,形成稳定书写习惯,1,0,0,0,0,0,1,0,0,义务教育语文课程标准(2022年版)·第三学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
6,小学高,跨学科学习,综合项目与毕业展示,CHN-G6-PRA-001,完成语文综合项目和成果展示,1,0,0,0,0,1,1,1,0,义务教育语文课程标准(2022年版)·第三学段·跨学科学习;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
6,小学高,阅读与鉴赏,多文本阅读,CHN-G6-REA-001,整合多篇文本信息,1,0,0,0,1,1,0,0,1,义务教育语文课程标准(2022年版)·第三学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
6,小学高,阅读与鉴赏,文学作品鉴赏,CHN-G6-REA-002,赏析文学形象和表达效果,1,0,0,0,0,0,1,0,0,义务教育语文课程标准(2022年版)·第三学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
6,小学高,阅读与鉴赏,实用与说明文本阅读,CHN-G6-REA-003,评价实用文本信息,1,0,0,0,1,0,1,1,1,义务教育语文课程标准(2022年版)·第三学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
6,小学高,阅读与鉴赏,思辨性阅读起步,CHN-G6-REA-004,初步开展思辨性阅读,1,0,0,0,1,0,1,0,0,义务教育语文课程标准(2022年版)·第三学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
6,小学高,阅读与鉴赏,古诗文积累鉴赏,CHN-G6-REA-005,积累鉴赏优秀古诗文,1,0,0,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第三学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
7,初中,整本书阅读,名著阅读起步,CHN-G7-BOK-001,制订名著阅读计划并交流,1,0,1,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第四学段·整本书阅读;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
7,初中,文化传承与理解,传统文化和革命文化材料阅读,CHN-G7-CUL-001,阅读文化主题作品并表达理解,1,0,0,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第四学段·文化传承与理解;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
7,初中,梳理与探究,语言现象梳理,CHN-G7-ORG-001,梳理词句段篇基本现象,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第四学段·梳理与探究;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
7,初中,梳理与探究,学习资料整理,CHN-G7-ORG-002,整理语文学习资料和方法,1,0,0,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第四学段·梳理与探究;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
7,初中,表达与交流,倾听讨论与转述,CHN-G7-EXP-001,参与讨论并准确转述,1,0,0,0,1,0,0,0,1,义务教育语文课程标准(2022年版)·第四学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
7,初中,表达与交流,记叙描写习作,CHN-G7-EXP-002,写清人事景物和感受,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第四学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
7,初中,表达与交流,说明与介绍写作,CHN-G7-EXP-003,写简单说明和介绍文字,1,0,0,0,0,0,0,0,1,义务教育语文课程标准(2022年版)·第四学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
7,初中,表达与交流,写作修改,CHN-G7-EXP-004,修改文章内容和语言,1,0,0,0,0,0,1,0,0,义务教育语文课程标准(2022年版)·第四学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
7,初中,识字与写字,语言积累与规范运用,CHN-G7-HZW-001,积累常用字词成语并规范运用,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第四学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
7,初中,识字与写字,文言字词起步,CHN-G7-HZW-002,积累浅易文言字词,1,0,0,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第四学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
7,初中,跨学科学习,综合性学习活动,CHN-G7-PRA-001,完成语文综合性学习任务,1,0,0,0,0,1,0,1,0,义务教育语文课程标准(2022年版)·第四学段·跨学科学习;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
7,初中,跨学科学习,数字化语文实践,CHN-G7-PRA-002,利用数字工具开展语文学习,1,0,0,0,0,0,0,1,1,义务教育语文课程标准(2022年版)·第四学段·跨学科学习;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
7,初中,阅读与鉴赏,阅读方法与批注,CHN-G7-REA-001,运用默读精读略读和批注,1,0,0,0,0,0,0,1,0,义务教育语文课程标准(2022年版)·第四学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
7,初中,阅读与鉴赏,叙事性文学阅读,CHN-G7-REA-002,理解叙事性作品人物与情节,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第四学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
7,初中,阅读与鉴赏,散文与诗歌体验,CHN-G7-REA-003,品味散文诗歌语言和情感,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第四学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
7,初中,阅读与鉴赏,说明性文本阅读,CHN-G7-REA-004,阅读说明性和科普文本,1,0,0,0,0,0,0,0,1,义务教育语文课程标准(2022年版)·第四学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
7,初中,阅读与鉴赏,古诗文阅读,CHN-G7-REA-005,理解浅易古诗文内容,1,0,0,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第四学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
7,初中,阅读与鉴赏,非连续性文本起步,CHN-G7-REA-006,阅读图表和多样资料,1,0,0,0,0,0,0,0,1,义务教育语文课程标准(2022年版)·第四学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
8,初中,整本书阅读,名著专题阅读,CHN-G8-BOK-001,开展名著专题阅读和研讨,1,0,1,0,0,1,1,0,0,义务教育语文课程标准(2022年版)·第四学段·整本书阅读;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
8,初中,整本书阅读,阅读策略深化,CHN-G8-BOK-002,运用多种策略推进整本书阅读,1,0,1,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第四学段·整本书阅读;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
8,初中,文化传承与理解,文化专题阅读与表达,CHN-G8-CUL-001,开展传统文化革命文化专题学习,1,0,0,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第四学段·文化传承与理解;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
